Nome_escola,Cod_inep,Municipio_polo,Cod_ibge,Enderenco_polo,Bairro_polo,long,lat,Gee,Tipo_ensino
ESCOLA ESTADUAL DR JOSE TAVARES,27016404,Arapiraca,2700300,RUA FRANCISCO OTILIO DOS SANTOS,BAIXA GRANDE,-36.67410175,-9.734290563,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL DR JULIO AUTO,27035930,Maceió,2704302,CONJUNTO JOAQUIM LEAO,VERGEL DO LAGO,-35.7611747,-9.662764399,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL DR MIGUEL GUEDES NOGUEIRA,27038556,Maceió,2704302,RUA DR OSVALDO CRUZ,CHA DE BEBEDOURO,-35.7594752,-9.619619456,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL DR PAULO DE CASTRO SARMENTO,27024067,União dos Palmares,2709301,RUA SENADOR RUI PALMEIRA,COHAB,-36.02484214,-9.157314912,7ª,Escola em tempo integral
ESCOLA ESTADUAL DR RODRIGUEZ DE MELO,27036553,Maceió,2704302,RUA JARDIM ESPERANCA,PONTA GROSSA,-35.75242413,-9.657432281,1ª,Escola em tempo integral
ESCOLA ESTADUAL DR SIDRONIO AUGUSTO DE SANTA MARIA,27040984,Santa Luzia do Norte,2707909,PCA DR JOSE LOBO FERREIRA,CENTRO,-35.82228784,-9.604222921,12ª,Escola em tempo integral
ESCOLA ESTADUAL DRa EUNICE DE LEMOS CAMPOS,27036561,Maceió,2704302,AV ARTHUR VALENTE JUCA,BENEDITO BENTES,-35.7170369,-9.543955503,13ª,Escola em tempo integral
ESCOLA ESTADUAL EGIDIO BARBOSA DA SILVA,27014010,Palmeira dos Índios,2706307,POVOADO LAGOA DO CALDEIRAO,ZONA RURAL,-36.65229257,-9.465317191,3ª,Escola em tempo integral
ESCOLA ESTADUAL ENGENHEIRO EDSON SALUSTIANO DOS SANTOS,27036588,Maceió,2704302,CONJUNTO MUTIRAO,JACINTINHO,-35.70890254,-9.634704373,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL ESTADO DE NOVA JERSEY,27014088,Palmeira dos Índios,2706307,AVENIDA CONSELHEIRO SEBASTIAO LIMA,PARAISO,-36.62473742,-9.408441524,3ª,Escola em tempo integral
ESCOLA ESTADUAL FERNANDINA MALTA,27040240,Rio Largo,2707701,AV ALBERTO SANTOS DUMONT,CENTRO,-35.856031,-9.483335,12ª,Escola em tempo integral
ESCOLA ESTADUAL FIRMO DE CASTRO,27046311,Porto Real do Colégio,2707503,AV ADEMARIO VIEIRA DANTAS,CENTRO,-36.83521157,-10.18354202,9ª,Escola em tempo integral
ESCOLA ESTADUAL FLORIANO PEIXOTO,27026337,Atalaia,2700409,RUA MARECHAL DEODORO,CENTRO,-36.02276672,-9.503462541,4ª,Escola de Ensino Regular
ESCOLA ESTADUAL FRANCISCA ROSA DA COSTA,27003515,Delmiro Gouveia,2702405,RUA SARGENTO REGINALDO BANDEIRA,PALMEIRAO,-37.99884651,-9.388737248,11ª,Escola de Ensino Regular
ESCOLA ESTADUAL FRANCISCO DOMINGUES,27020274,Limoeiro de Anadia,2704203,RUA LUIZ GONZAGA RIBEIRO SILVA,ALTO DO CRUZEIRO,-36.50194962,-9.737989765,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL FRANCISCO FALCAO,27033880,São Miguel dos Milagres,2708709,RUA VIGARIO BELO,CENTRO,-35.37311429,-9.266562481,10ª,Escola de Ensino Regular
ESCOLA ESTADUAL FRANCISCO LEAO,27040755,Rio Largo,2707701,CONJUNTO RESIDENCIAL BARNABE OITICICA,MATA DO ROLO,-35.85429215,-9.487253722,12ª,Escola em tempo integral
ESCOLA ESTADUAL GABINO BESOURO,27045250,Penedo,2706703,AV NILO PECANHA,CENTRO,-36.58388827,-10.28915782,9ª,Escola de Ensino Regular
ESCOLA ESTADUAL GENTIL DE ALBUQUERQUE MALTA,27002020,Mata Grande,2705002,RUA SINVAL DE ALBUQUERQUE MALTA,BONSUCESSO,-37.72425932,-9.115654985,11ª,Escola em tempo integral
ESCOLA ESTADUAL GERALDO MELO DOS SANTOS,27225968,Maceió,2704302,RUA 61,CIDADE UNIVERSITARIA,-35.74724914,-9.548998761,13ª,Escola em tempo integral
ESCOLA ESTADUAL GRACILIANO RAMOS,27014029,Palmeira dos Índios,2706307,AVENIDA 15 DE NOVEMBRO,SAO CRISTOVAO,-36.63434904,-9.412325201,3ª,Escola em tempo integral
ESCOLA ESTADUAL HERMILIO DE FREITAS MELRO,27045684,Penedo,2706703,AVENIDA WANDERLEY,SANTA LUZIA,-36.57326053,-10.28394235,9ª,Escola de Ensino Regular
ESCOLA ESTADUAL HUMBERTO MENDES,27013928,Palmeira dos Índios,2706307,AVENIDA MUNIZ FALCAO,SAO FRANCISCO,-36.62807056,-9.414456194,3ª,Escola em tempo integral
